id,proveedor,pais,tipo,codigo,nombre,tema,categoria_bricklink,cantidad,precio_eur_compra,costo_clp,precio_cliente_num,precio,imagen,plazo_entrega,origen
brickshop_holland_43217-1,brickshop_holland,NL,set_nuevo,43217-1,'Up' House,Otros Sets LEGO,Otros Sets LEGO,30,45.4463,50900,71260,$71.260,https://img.bricklink.com/ItemImage/ST/0/43217-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76917-1,brickshop_holland,NL,set_nuevo,76917-1,2 Fast 2 Furious Nissan Skyline GT-R (R34),Speed Champions,Speed Champions,124,20.6529,23131,32384,$32.384,https://img.bricklink.com/ItemImage/ST/0/76917-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_42210-1,brickshop_holland,NL,set_nuevo,42210-1,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,Technic,Technic,9,99.1653,111065,155491,$155.491,https://img.bricklink.com/ItemImage/ST/0/42210-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10476-1,brickshop_holland,NL,set_nuevo,10476-1,3 in 1 Construction Site and Vehicles,DUPLO,DUPLO,3,66.1074,74040,103656,$103.656,https://img.bricklink.com/ItemImage/ST/0/10476-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10475-1,brickshop_holland,NL,set_nuevo,10475-1,3 in 1 Construction Vehicles,DUPLO,DUPLO,6,18.1735,20354,28496,$28.496,https://img.bricklink.com/ItemImage/ST/0/10475-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10478-1,brickshop_holland,NL,set_nuevo,10478-1,3 in 1 Creative Ramps with Vehicles,DUPLO,DUPLO,6,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/10478-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10470-1,brickshop_holland,NL,set_nuevo,10470-1,3 in 1 Modern Family House with Figures,DUPLO,DUPLO,6,57.843,64784,90698,$90.698,https://img.bricklink.com/ItemImage/ST/0/10470-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10477-1,brickshop_holland,NL,set_nuevo,10477-1,3 in 1 My First Creative Cute Pets,DUPLO,DUPLO,3,7.4297,8321,11650,$11.650,https://img.bricklink.com/ItemImage/ST/0/10477-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75968-1,brickshop_holland,NL,set_nuevo,75968-1,4 Privet Drive,Harry Potter,Harry Potter,10,78.5041,87925,123094,$123.094,https://img.bricklink.com/ItemImage/ST/0/75968-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_0043221-1,brickshop_holland,NL,set_nuevo,0043221-1,100 Years of Disney Animation Icons,Disney,Disney,21,53.7107,60156,84218,$84.218,https://img.bricklink.com/ItemImage/ST/0/0043221-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_43269-1,brickshop_holland,NL,set_nuevo,43269-1,101 Dalmatians Puppy,Disney,Disney,58,99.1653,111065,155491,$155.491,https://img.bricklink.com/ItemImage/ST/0/43269-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_21324-1,brickshop_holland,NL,set_nuevo,21324-1,123 Sesame Street,Ideas,Ideas,19,165.2809,185115,259160,$259.160,https://img.bricklink.com/ItemImage/ST/0/21324-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_42223-1,brickshop_holland,NL,set_nuevo,42223-1,1966 Ford GT40 MKII Race Car,Technic,Technic,51,53.7107,60156,84218,$84.218,https://img.bricklink.com/ItemImage/ST/0/42223-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76906-1,brickshop_holland,NL,set_nuevo,76906-1,1970 Ferrari 512 M,Speed Champions,Speed Champions,3,24.7851,27759,38863,$38.863,https://img.bricklink.com/ItemImage/ST/0/76906-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_42154-1,brickshop_holland,NL,set_nuevo,42154-1,2022 Ford GT,Technic,Technic,25,90.9008,101809,142532,$142.532,https://img.bricklink.com/ItemImage/ST/0/42154-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_76919-1,brickshop_holland,NL,set_nuevo,76919-1,2023 McLaren Formula 1 Car,Speed Champions,Speed Champions,53,24.7851,27759,38863,$38.863,https://img.bricklink.com/ItemImage/ST/0/76919-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_43033-1,brickshop_holland,NL,set_nuevo,43033-1,2026 U.S. Soccer National Team Jersey,Editions,Editions,1,24.7851,27759,38863,$38.863,https://img.bricklink.com/ItemImage/ST/0/43033-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_375431-1,brickshop_holland,NL,set_nuevo,375431-1,327th Star Corps Clone Troopers Battle Pack,Star Wars,Star Wars,22,28.9173,32387,45342,$45.342,https://img.bricklink.com/ItemImage/ST/0/375431-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_75359-1,brickshop_holland,NL,set_nuevo,75359-1,332nd Ahsoka's Clone Trooper Battle Pack,Star Wars,Star Wars,8,18.1735,20354,28496,$28.496,https://img.bricklink.com/ItemImage/ST/0/75359-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10448-1,brickshop_holland,NL,set_nuevo,10448-1,3in1 Animals on Wheels,DUPLO,DUPLO,11,24.7851,27759,38863,$38.863,https://img.bricklink.com/ItemImage/ST/0/10448-1.t1.png,35 a 40 días hábiles,Importación Europa
brickshop_holland_10451-1,brickshop_holland,NL,set_nuevo,10451-1,3in1 Dinosaurs on Wheels,DUPLO,DUPLO,3,49.5785,55528,77739,$77.739,https://img.bricklink.com/ItemImage/ST/0/10451-1.t1.png,35 a 40 días hábiles,Importación Europa
