codigo,nombre,cantidad,precio_eur
43217-1,'Up' House,31,45.4463
76917-1,2 Fast 2 Furious Nissan Skyline GT-R (R34),125,20.6529
42210-1,2 Fast 2 Furious Nissan Skyline GT-R (R34) Car,9,99.1653
10476-1,3 in 1 Construction Site and Vehicles,3,66.1074
10475-1,3 in 1 Construction Vehicles,2,18.1735
10478-1,3 in 1 Creative Ramps with Vehicles,6,49.5785
10470-1,3 in 1 Modern Family House with Figures,6,57.843
10477-1,3 in 1 My First Creative Cute Pets,3,7.4297
75968-1,4 Privet Drive,10,78.5041
043221-1,100 Years of Disney Animation Icons,21,53.7107
43269-1,101 Dalmatians Puppy,58,99.1653
21324-1,123 Sesame Street,20,165.2809
42223-1,1966 Ford GT40 MKII Race Car,53,53.7107
76906-1,1970 Ferrari 512 M,3,24.7851
42154-1,2022 Ford GT,25,90.9008
76919-1,2023 McLaren Formula 1 Car,56,24.7851
43033-1,2026 U.S. Soccer National Team Jersey,1,24.7851
375431-1,327th Star Corps Clone Troopers Battle Pack,24,28.9173
75359-1,332nd Ahsoka's Clone Trooper Battle Pack,8,18.1735
10448-1,3in1 Animals on Wheels,11,24.7851
10451-1,3in1 Dinosaurs on Wheels,3,49.5785
10993-1,3in1 Tree House,2,82.6363
10446-1,3in1 Wild Animal Families,2,56.1901
75345-1,501st Clone Troopers Battle Pack,20,20.6529
42114-1,6x6 Volvo Articulated Hauler,5,330.5701
271811-1,Arin's Ninja Off-Road Buggy Car,25,37.1818
371839-1,Arin's Spinjitzu Battle Mech,8,14.8678
21226-1,Art Project - Create Together,4,123.9586
43223-1,Asha in the City of Rosas,10,15.6942
30661-1,Asha's Welcome Booth polybag,55,4.124
10255-1,Assembly Square,11,289.2478
77245-1,Aston Martin Aramco F1 AMR24,96,19.0
42208-1,Aston Martin Valkyrie,70,41.314
675440-1,AT-AT,61,47.9256
75444-1,AT-RT Attack,38,33.0496
75254-1,AT-ST Raider,21,74.3719
675417-1,AT-ST Walker - UCS,9,140.4876
375337-1,AT-TE Walker,29,123.9586
10306-1,Atari 2600 Video Computer System,3,223.1322
10327-1,Atreides Royal Ornithopter,15,140.4876
77259-1,Audi Revolut F1 Team R26,170,19.8264
42160-1,Audi RS Q e-tron,12,140.4876
76921-1,Audi S1 e-tron quattro,149,22.3058
43211-1,Aurora's Castle,2,33.0496
11372-1,Autumn Cottage Garden,58,78.5041
42646-1,Autumn's Room,4,14.0413
30696-1,Autumn's Waffle Stand paper bag / polybag,82,3.2975
76325-1,Avengers: Age of Ultron Quinjet,13,86.7686
76323-1,Avengers: Endgame Final Battle,69,71.8925
76322-1,Avengers: Endgame Thor vs. Chitauri,12,35.5289
76970-1,Baby Dinosaur Dolores: Aquilops,30,20.6529
40814-1,Baby Elephant in the Sky,54,20.6529
30665-1,Baby Gorilla Encounter polybag,18,3.2975
72034-1,Baby Mario vs. Baby Luigi,12,20.6529
72036-1,Baby Peach & Grand Prix Set,5,55.3636
41964-1,Back to School Project Box {Mickey Mouse & Minnie Mouse},8,28.9173
10300-1,Back to the Future Time Machine,66,148.752
42197-1,Backhoe Loader,15,7.4297
60480-1,Backhoe Loader,23,20.6529
30733-1,Badnik: Skorp paper bag,583,3.2975
562206-1,Bakery foil pack,370,1.6446
562306-1,Bakery paper bag,761,1.6446
10440-1,Balancing & Stacking Tree,9,14.0413
30704-1,Balkiry Attack paper bag / polybag,98,4.124
10367-1,Balrog Book Nook,39,84.2892
10333-1,Barad-dûr,6,413.2147
75378-1,BARC Speeder Escape,31,20.6529
10966-1,Bath Time Fun: Floating Animal Island,2,33.0496
10965-1,Bath Time Fun: Floating Animal Train,45,14.8678
76301-1,Batman & Batmobile vs. Mr. Freeze,2,14.0413
30653-1,Batman 1992 polybag,83,4.124
76240-1,Batman Batmobile Tumbler,8,289.2478
76259-1,Batman Construction Figure,1,33.0496
76273-1,Batman Construction Figure and the Bat-Pod Bike,9,61.9752
76304-1,Batman Forever Batmobile,3,70.2396
76330-1,Batman Logo,47,57.843
76270-1,Batman Mech Armor,1,14.0413
